pmcid,model,system,ppa,mfr,coverage,n_ann,ann_kept,n_math,math_kept,ppa_ordered,mfr_ordered,judge,n_units,fresh_tok,completion_tok,cost_cny,wellformed
1708.08801,kimi-k2.5,contract,97.1,100.0,100.0,701,681,257,257,100.0,99.9,,43,6114,5056,0.015,True
1708.08801,minimax-m2.5,contract,96.4,100.0,100.0,701,676,257,257,99.6,98.7,,43,7013,7145,0.0199,True
1710.00782,qwen3.7-plus-nothink,contract,98.0,100.0,100.0,711,697,220,220,100.0,100.0,,70,10981,7937,0.0806,True
1710.00782,qwen3-max-2026-01-23,contract,98.0,100.0,100.0,711,697,220,220,100.0,99.9,,70,10869,7451,0.0976,True
1710.00782,glm-4.7,contract,98.0,100.0,100.0,711,697,220,220,100.0,100.0,,70,10690,7618,0.0238,True
1710.00782,kimi-k2.5,contract,89.7,85.9,100.0,711,638,220,189,94.9,97.9,,70,9372,10733,0.029,True
1710.00782,minimax-m2.5,contract,98.0,100.0,100.0,711,697,220,220,100.0,100.0,,70,10436,10470,0.0293,True
1710.04196,qwen3.7-plus-nothink,contract,92.8,100.0,100.0,390,362,17,17,100.0,100.0,,49,6756,4162,0.0452,True
1710.04196,qwen3-max-2026-01-23,contract,92.8,100.0,100.0,390,362,17,17,100.0,100.0,,49,6699,4182,0.0562,True
1710.04196,glm-4.7,contract,92.8,100.0,100.0,390,362,17,17,100.0,100.0,,49,6609,4068,0.0134,True
1710.04196,kimi-k2.5,contract,92.8,100.0,100.0,390,362,17,17,100.0,100.0,,49,5601,5991,0.0165,True
1710.04196,minimax-m2.5,contract,92.8,100.0,100.0,390,362,17,17,100.0,100.0,,49,6502,7440,0.0201,True
1711.04150,qwen3.7-plus-nothink,contract,95.2,100.0,100.0,922,878,190,190,100.0,99.8,,172,16695,10741,0.1145,True
1711.04150,qwen3-max-2026-01-23,contract,95.2,100.0,100.0,922,878,190,190,100.0,99.9,,172,16594,9834,0.1342,True
1711.04150,glm-4.7,contract,95.2,100.0,100.0,922,878,190,190,100.0,99.8,,172,15891,9897,0.0325,True
1711.04150,kimi-k2.5,contract,95.3,100.0,100.0,922,879,190,190,100.0,100.0,,172,13570,14083,0.039,True
1711.04150,minimax-m2.5,contract,95.2,100.0,100.0,922,878,190,190,100.0,99.9,,172,15695,18270,0.0491,True
1711.07629,qwen3.7-plus-nothink,contract,99.3,100.0,100.0,2072,2058,398,398,100.0,99.9,,152,28537,18028,0.1938,True
1711.07629,qwen3-max-2026-01-23,contract,99.3,99.7,100.0,2072,2057,398,397,100.0,99.8,,152,28338,16854,0.2298,True
1711.07629,glm-4.7,contract,99.1,99.2,100.0,2072,2053,398,395,100.0,99.9,,152,27772,17214,0.0566,True
1711.07629,kimi-k2.5,contract,99.3,100.0,100.0,2072,2058,398,398,100.0,100.0,,152,23945,26246,0.0716,True
1711.07629,minimax-m2.5,contract,99.2,99.2,100.0,2072,2055,398,395,99.8,99.0,,152,27199,33444,0.0886,True
1711.08195,qwen3.7-plus-nothink,contract,95.3,100.0,100.0,854,814,108,108,100.0,99.9,,93,10239,6736,0.0711,True
1711.08195,qwen3-max-2026-01-23,contract,95.4,100.0,100.0,854,815,108,108,100.0,100.0,,93,10147,6190,0.0838,True
1711.08195,glm-4.7,contract,95.9,100.0,100.0,854,819,108,108,100.0,99.9,,93,9945,6328,0.0206,True
